1,GUSTAVO A. MADERO
2,ALVARO OBREGON
3,XOCHIMILCO
4,TLALPAN
5,IZTAPALAPA
6,AZCAPOTZALCO
7,CUAUHTEMOC
8,MIGUEL HIDALGO
9,VENUSTIANO CARRANZA
10,BENITO JUAREZ
11,COYOACAN
12,IZTACALCO
13,MAGDALENA CONTRERAS
14,TLAHUAC
15,MILPA ALTA
16,CUAJIMALPA
