id_delegacion,delegacion,ocupacion_por_vivienda,ocupacion_por_cuarto
1,Azcapotzalco,3.21,0.77
2,Coyoacán,3.2,0.7
3,Cuajimalpa_de_Morelos,3.6,0.81
4,Gustavo_A._Madero,3.42,0.83
5,Iztacalco,3.43,0.82
6,Iztapalapa,3.61,0.92
7,La_Magdalena_Contreras,3.62,0.87
8,Milpa_Alta,3.9,1.03
9,Álvaro_Obregón,3.45,0.81
10,Tláhuac,3.67,0.93
11,Tlalpan,3.44,0.81
12,Xochimilco,3.74,0.91
13,Benito_Juárez,2.46,0.56
14,Cuauhtémoc,2.75,0.72
15,Miguel_Hidalgo,2.81,0.66
16,Venustiano_Carranza,3.26,0.82
